id	filename	md5	size	state
1270b6bb-fcf1-4683-9353-68a62e1fe029	jhu-usc.edu_COAD.HumanMethylation450.6.lvl-3.TCGA-A6-5656-01B-02D-A27A-05.gdc_hg38.txt	461309bbadf183e97f6e5e42e64371de	141265766	validated
12defec9-d838-40e4-a838-687f2f4a46a9	jhu-usc.edu_COAD.HumanMethylation450.6.lvl-3.TCGA-G4-6309-01A-21D-1837-05.gdc_hg38.txt	e4cc3459a0a684996cb98ab57e95706c	141284437	validated
13e2b567-2d5c-49f8-9bfd-370015b4ecbf	jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-A6-2679-11A-01D-1551-05.gdc_hg38.txt	6ccb936c327e248ec4961fc69cc24880	141278191	validated
1748190e-98da-47f4-8bfa-38bd52bf0b09	jhu-usc.edu_COAD.HumanMethylation450.4.lvl-3.TCGA-A6-6652-01A-11D-1772-05.gdc_hg38.txt	56982a08fd92008c458ec2c9c515eeb1	141261428	validated
1771b2cf-55af-4107-b8ef-4a4633db97af	jhu-usc.edu_COAD.HumanMethylation450.15.lvl-3.TCGA-NH-A6GC-01A-12D-A40X-05.gdc_hg38.txt	a36b8bd20c65ab72b8ed0e13270c7afe	141292387	validated
1808c819-eb70-41eb-96bd-230ea36ff55c	jhu-usc.edu_COAD.HumanMethylation450.4.lvl-3.TCGA-G4-6625-11A-01D-1772-05.gdc_hg38.txt	22caece0df1f76c20d313be8529e6ddd	141269034	validated
183ec111-cdf0-45ab-8d2a-9bfa225d3b2d	jhu-usc.edu_COAD.HumanMethylation450.6.lvl-3.TCGA-AA-3496-01A-21D-1837-05.gdc_hg38.txt	7b2cff5d26c7658992f64d73d64ca704	141264433	validated
18872cfe-40d1-41ef-8e07-86322d37513b	jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-A6-2681-01A-01D-1407-05.gdc_hg38.txt	82ac545fccb3af9672685f0b800ff56f	141276705	validated
18d35537-4de8-4015-b94e-a0bcb598e7e5	jhu-usc.edu_COAD.HumanMethylation450.3.lvl-3.TCGA-D5-6541-01A-11D-1721-05.gdc_hg38.txt	7a092136a88c6d66c9b5fddfcc298018	141288997	validated
19dc6672-b637-4d0a-b062-9d648084a54b	jhu-usc.edu_COAD.HumanMethylation450.14.lvl-3.TCGA-AY-A71X-01A-12D-A36Y-05.gdc_hg38.txt	54354cf4584ba65c8e08c4deada33578	141286327	validated
1a54bf8b-d65b-4428-9f7e-3c20645e4be1	jhu-usc.edu_COAD.HumanMethylation450.3.lvl-3.TCGA-CK-4950-01A-01D-1721-05.gdc_hg38.txt	936d6e4090508cf61cf7980cf8ed4933	141269007	validated
1b0ea3b3-8db3-4e01-bee0-3e0d8f3423ea	jhu-usc.edu_COAD.HumanMethylation450.6.lvl-3.TCGA-CA-5254-01A-21D-1837-05.gdc_hg38.txt	4b257fe4d6aba284197792bd6ea19ef3	141247618	validated
1bd3b32a-805d-4011-8f04-5c11e9e025ce	jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-A6-2682-11A-01D-1551-05.gdc_hg38.txt	cc06164d5827d55978c2cc96764ad14d	141288320	validated
1bfb0ed0-9af4-45bb-a139-3d7581ab249a	jhu-usc.edu_COAD.HumanMethylation450.3.lvl-3.TCGA-A6-5667-11A-01D-1721-05.gdc_hg38.txt	444e65d9783dfb053e66d03094b23979	141290188	validated
1c9907ad-1bdc-4323-b3e8-e5de3991d08c	jhu-usc.edu_COAD.HumanMethylation450.15.lvl-3.TCGA-NH-A8F8-01A-72D-A40X-05.gdc_hg38.txt	ffb76b294c0951dd27a0c2de9da405d7	141283386	validated
1f2d77d4-7792-4520-b439-c4f879965f85	jhu-usc.edu_COAD.HumanMethylation450.2.lvl-3.TCGA-A6-5659-01A-01D-1651-05.gdc_hg38.txt	3ca81f525f66bc87cfde54314af1a423	141281486	validated
1fae6fab-de96-4cab-8d23-39e999ec0638	jhu-usc.edu_COAD.HumanMethylation450.13.lvl-3.TCGA-AD-A5EJ-01A-11D-A28O-05.gdc_hg38.txt	b97deb1cd283cdf6273b3b97596279c1	141259261	validated
226a5983-b081-402d-bdf5-ddd2358ee867	jhu-usc.edu_COAD.HumanMethylation450.11.lvl-3.TCGA-A6-2677-01B-02D-A27A-05.gdc_hg38.txt	56981b09d373a0b198cf8ae855ec8658	141270460	validated
230e5895-8d06-4854-af93-97ddd1dd1508	jhu-usc.edu_COAD.HumanMethylation450.4.lvl-3.TCGA-F4-6459-01A-11D-1772-05.gdc_hg38.txt	712514160b26ac7e1150d38585a3aeed	141276651	validated
232c0315-dd7a-48cd-ba0d-057dee3d2634	jhu-usc.edu_COAD.HumanMethylation450.6.lvl-3.TCGA-CM-5863-01A-21D-1837-05.gdc_hg38.txt	65b0909d78d5f7bb43fad8f3317f5187	141267678	validated
2343cccf-e76e-480f-9432-aecd62ff40ec	jhu-usc.edu_COAD.HumanMethylation450.4.lvl-3.TCGA-AZ-6601-01A-11D-1772-05.gdc_hg38.txt	5f18bafd44e6e8363ba896dd2126c090	141268789	validated
23f7347b-e3f4-4b34-9f63-af9bff42dd58	jhu-usc.edu_COAD.HumanMethylation450.2.lvl-3.TCGA-A6-5666-01A-01D-1651-05.gdc_hg38.txt	d8bc3d5aea69f8f32ebe3701902d49de	141258391	validated
25e8048f-1601-4d1f-9d1a-4c9f002d9365	jhu-usc.edu_COAD.HumanMethylation450.3.lvl-3.TCGA-AA-3697-11A-01D-1721-05.gdc_hg38.txt	083148166f7c947387a23ca9a125df0e	141289374	validated
2662d287-6f1f-40dd-bec4-f3e837cc1d80	jhu-usc.edu_COAD.HumanMethylation450.7.lvl-3.TCGA-DM-A28E-01A-11D-A16X-05.gdc_hg38.txt	9ecfe399087d7e1a123cbc8fc50f028c	141281761	validated
2669ba3f-0e19-4984-9d70-fc9b34db76bc	jhu-usc.edu_COAD.HumanMethylation450.1.lvl-3.TCGA-AZ-4681-01A-01D-1407-05.gdc_hg38.txt	d0ae6c64cae70675ec3b84e26d07b50b	141295988	validated
2acfa3b8-efc8-4025-844d-018c8a3c5960	jhu-usc.edu_COAD.HumanMethylation450.6.lvl-3.TCGA-CK-6751-01A-11D-1837-05.gdc_hg38.txt	48d67e1596b5014e46742e601e50c1d2	141252985	validated
